emotion,type,intensity,petal-color,color,+intense,-intense,opposite,similar-words,sensations,message,purpose,combo-emotion-0,combo-emotion-1,combo-explanation
serenity,base,low,#ffca05,#ffed9f,joy,,pensiveness,Calm; Peace,Relaxation; emotional openness,Something essential or meaningful is happening,Renews energy; provides stability,,,
joy,base,medium,#ffca05,#ffdc7b,ecstasy,serenity,sadness,Happiness,Sense of energy and possibility,Things are going well,Ignites creativity; connection; energizes,,,
ecstasy,base,high,#ffca05,#ffca05,,joy,grief,Euphoria,Abundance of energy,This is better than I expected!,Strengthens relationships; increases creativity; builds memories,,,
acceptance,base,low,#8ac650,#cadf8b,trust,,boredom,Openness; welcoming,Peace,We are in this together,Helps create relationships; community,,,
trust,base,medium,#8ac650,#abd26a,admiration,acceptance,disgust,Security,Sense of freedom and authenticity,This person or thing is safe,Helps to open up; connect; build alliances,,,
admiration,base,high,#8ac650,#8ac650,,trust,loathing,Connection; pride,Vibrancy,I want to support the person or thing,Strengthens commitment to a person or idea,,,
apprehension,base,low,#00a551,#7ac698,fear,,annoyance,Worry,Unable to relax,There might be a problem,Helps to seek potential risks and not ignore the problem,,,
fear,base,medium,#00a551,#30b575,terror,apprehension,anger,Fright,Agitation,Something I care about is at risk,Helps protect what we care about,,,
terror,base,high,#00a551,#00a551,,fear,rage,Alarm,Difficulty breathing,There is grave danger,Helps seek safety for self and others,,,
distraction,base,low,#0099cd,#89c7e4,surprise,,interest,Bewilderment; uncertainty,Lack of focus,I don't know what to prioritize,Helps to consider what to prioritize,,,
surprise,base,medium,#0099cd,#36aed7,amazement,distraction,anticipation,Shock,Accelerated heartbeat,Something new has happened,Helps focus on the moment,,,
amazement,base,high,#0099cd,#0099cd,,surprise,vigilance,Inspiration; wonder,Suspended heartbeat,There is something totally unexpected,Helps remember this moment,,,
pensiveness,base,low,#2983c5,#a0c0e5,sadness,,serenity,Melancholy; unhappiness,Slowdown; disconnection,Something is distant,Helps remember people and things that are important,,,
sadness,base,medium,#2983c5,#74a8da,grief,pensiveness,joy,Dejection,Heaviness; oppression,Something is going away,Helps focus on what is important to us,,,
grief,base,high,#2983c5,#2983c5,,sadness,ecstasy,Deep pain; upheaval,Difficulty moving forward,Something is lost,Helps to know what we truly want,,,
boredom,base,low,#8973b3,#b9aad3,disgust,,acceptance,Tiredness; disinterest,Exhaustion; low energy,This situation is not giving what it could,Helps to rest; learn and refocus,,,
disgust,base,medium,#8973b3,#a390c4,loathing,boredom,trust,Distrust; rejection,Bitterness; sense of rejection,Something is wrong; rules are violated,Helps you notice something dangerous or wrong,,,
loathing,base,high,#8973b3,#8973b3,,disgust,admiration,Upset; horror,Bitterness,Core values are violated,Provides energy to block something vile,,,
annoyance,base,low,#f05b61,#f48d80,anger,,apprehension,Frustration,Slight agitation,There is something unresolved,Allows to notice small problems,,,
anger,base,medium,#f05b61,#f2736d,rage,annoyance,fear,Ferocity,Strength; heat,There is an obstacle,Can provide energy to overcome an obstacle,,,
rage,base,high,#f05b61,#f05b61,,anger,terror,Overwhelm; fury,Accelerated heartbeat; impulsive reaction,This situation is blocking me from something essential,Can help you confront an obstacle,,,
interest,base,low,#f6923d,#fcc487,anticipation,,distraction,Openness; observation,Slight curiosity,Something useful might emerge,Allows to pay attention and explore,,,
anticipation,base,medium,#f6923d,#f9ad66,vigilance,interest,surprise,Curiosity; reflection,Attention; exploration,A change is happening,Allows to look ahead and observe what might happen,,,
vigilance,base,high,#f6923d,#f6923d,,anticipation,amazement,Focus,Maximum concentration,Something important is coming,Allows to prepare; observe carefully; stay alert,,,
aggressiveness,intermediate,,#f05b61,#f3774f,,,,,Bodily tension; impulse to move,It is necessary to face an incoming threat,Helps prepare to react quickly to threats,anger,anticipation,Anger means something is blocking us. Anticipation is about attention to the future. When combined we are driven to fight or break through the barrier.
optimism,intermediate,,#f6923d,#fbae21,,,,,Energy; motivation,The future offers better opportunities,Fosters option generation and motivates action,anticipation,joy,Anticipation is about attention to the future. Joy is about things going well. When combined we look forward to what lies ahead.
contempt,intermediate,,#8973b3,#bd678a,,,,,Body heat; tension,Something is perceived as wrong,Fosters respect for shared norms or rules,disgust,anger,Disgust signals a violation of norms or rules. Anger means something is blocking us. When combined we are driven to diminish or reject the perceived barrier.
awe,intermediate,,#00a551,#009f8f,,,,,Sudden activation,A high-risk situation has appeared suddenly,Activates rapid threat response; preparing for immediate action,fear,surprise,Fear means something we care about is at risk. Surprise tells us something is unexpected. When combined we are shocked into defense.
love,intermediate,,#8ac650,#c5c82b,,,,,Calm; inner warmth,There is a deep connection with one or more people,Creates a foundation of safety that fosters growth and development,joy,trust,Joy is about things going well. Trust is a signal of safety and connection. When combined we feel deeply connected.
remorse,intermediate,,#2983c5,#597bbc,,,,,Inner heaviness; bodily discomfort,There is responsibility regarding something important,Fosters taking responsibility and encourages repair,sadness,disgust,Sadness tells us we are losing someone/something we love. Disgust signals a violation of norms or rules. When combined for what we have done we feel the need to repair or improve.
disapproval,intermediate,,#0099cd,#158ec9,,,,,Muscular tension; sense of emptiness,An unpleasant or painful event has appeared suddenly,Helps focus attention on the problem or loss; mobilizing emotional resources to address it,surprise,sadness,Surprise tells us something is unexpected. Sadness tells us we are losing someone/something we love. When combined we perceive that something external is wrong or bad.
submission,intermediate,,#8ac650,#45b651,,,,,Tension; contraction,Relying on this person or institution seems necessary to stay safe,Reduces perceived exposure to a larger threat by transferring control externally,trust,fear,Trust is a signal of safety and connection. Fear means something we care about is at risk. When combined we seek protection.
